HHNUM,PERCENT_FEMALE,PR_SEX,AVG_AGE_R,PR_AGE_R,HISPANIC,MODE_RACECAT_R,ALT_PNUM,PROP_WHITE,PROP_BLACK,PROP_OTHER,PROP_NARACE,EDUCCAT,PR_EDUCCAT,NCIMMIGRANT_ANY,NCIMMIGRANT_EVERY,NCHILDREN,NADULTS,DISABLED
110948,1.0,1,27.5,27.5,1.0,1,1,1.0,0.0,0.0,0.0,1,1,0,0,0,1,0
110954,0.25,1,17.75,27.5,0.0,1,4,1.0,0.0,0.0,0.0,1,1,0,0,2,2,0
110959,1.0,1,85.0,85,0.0,1,1,1.0,0.0,0.0,0.0,1,1,0,0,0,1,0
110960,0.3333333333333333,1,40.833333333333336,47.5,0.0,1,3,1.0,0.0,0.0,0.0,2,2,0,0,0,3,0
110967,1.0,1,47.5,47.5,0.0,1,1,1.0,0.0,0.0,0.0,2,2,0,0,0,1,1
110968,0.3333333333333333,0,14.666666666666666,27.5,1.0,1,3,1.0,0.0,0.0,0.0,2,2,0,0,2,1,0
110969,0.5,1,23.5,47.5,1.0,1,6,1.0,0.0,0.0,0.0,2,2,0,0,3,3,0
110989,0.5,1,37.5,47.5,0.0,3,2,0.5,0.0,0.5,0.0,1,1,0,0,0,2,0
110990,0.3333333333333333,1,47.166666666666664,62.5,0.0,1,3,1.0,0.0,0.0,0.0,2,2,0,0,1,2,0
110997,0.5,1,15.375,27.5,0.0,1,4,1.0,0.0,0.0,0.0,3,3,0,0,2,2,0
111004,1.0,1,62.5,62.5,0.0,1,1,1.0,0.0,0.0,0.0,1,1,0,0,0,1,0
111007,0.6666666666666666,1,25.0,18,0.3333333333333333,3,3,0.3333333333333333,0.0,0.6666666666666666,0.0,1,2,0,0,1,2,0
111013,1.0,1,85.0,85,0.0,1,1,1.0,0.0,0.0,0.0,3,3,0,0,0,1,0
111022,1.0,1,27.5,27.5,0.0,1,1,1.0,0.0,0.0,0.0,2,2,0,0,0,1,0
111023,0.5,1,55.0,47.5,0.0,1,2,1.0,0.0,0.0,0.0,1,2,0,0,0,2,0
111037,1.0,1,27.5,27.5,0.0,1,1,1.0,0.0,0.0,0.0,1,1,0,0,0,1,0
111038,1.0,1,27.5,27.5,0.0,3,1,0.0,0.0,1.0,0.0,1,1,0,0,0,1,0
111044,0.6666666666666666,0,34.833333333333336,47.5,0.0,1,3,1.0,0.0,0.0,0.0,1,1,0,0,1,2,0
111047,0.0,0,85.0,85,1.0,3,1,0.0,0.0,1.0,0.0,3,3,1,1,0,1,0
111053,0.4,1,13.7,27.5,0.0,1,5,1.0,0.0,0.0,0.0,2,3,0,0,3,2,0
111055,1.0,1,47.5,47.5,1.0,3,1,0.0,0.0,1.0,0.0,1,1,1,1,0,1,0
111056,0.6666666666666666,1,19.333333333333332,27.5,0.0,2,3,0.0,0.6666666666666666,0.3333333333333333,0.0,1,1,0,0,1,2,0
111069,0.5,0,47.5,47.5,0.0,1,2,1.0,0.0,0.0,0.0,1,2,0,0,0,2,0
111071,0.2,1,28.3,47.5,0.0,1,5,1.0,0.0,0.0,0.0,1,1,0,0,3,2,0
111073,0.5,1,32.0,47.5,0.0,2,2,0.0,1.0,0.0,0.0,1,1,0,0,1,1,0
111077,1.0,1,27.5,27.5,0.0,1,1,1.0,0.0,0.0,0.0,1,1,0,0,0,1,1
111081,0.4,1,23.0,47.5,0.0,1,5,1.0,0.0,0.0,0.0,2,2,0,0,3,2,0
111084,0.0,0,68.0,68,0.0,2,1,0.0,1.0,0.0,0.0,2,2,0,0,0,1,0
111088,0.3333333333333333,1,18.666666666666668,27.5,0.0,1,3,1.0,0.0,0.0,0.0,1,2,0,0,1,2,0
111090,1.0,1,57.75,68,0.0,1,2,1.0,0.0,0.0,0.0,1,1,0,0,0,2,0
111093,0.0,0,47.5,47.5,0.0,1,1,1.0,0.0,0.0,0.0,1,1,0,0,0,1,0
111096,0.5,1,25.5,47.5,0.16666666666666666,1,6,1.0,0.0,0.0,0.0,3,3,0,0,1,5,0
111099,1.0,1,47.5,47.5,0.0,1,1,1.0,0.0,0.0,0.0,1,1,0,0,0,1,1
111101,0.5,1,47.5,47.5,0.0,1,2,1.0,0.0,0.0,0.0,2,3,0,0,0,2,0
111108,0.5,1,37.5,47.5,0.0,1,2,1.0,0.0,0.0,0.0,1,1,0,0,0,2,0
111109,0.42857142857142855,1,12.642857142857142,27.5,1.0,1,7,1.0,0.0,0.0,0.0,3,3,1,0,5,2,0
111110,0.5,1,55.0,47.5,1.0,3,2,0.0,0.0,1.0,0.0,1,1,0,0,0,2,0
111121,0.5,1,55.0,62.5,0.0,1,2,1.0,0.0,0.0,0.0,2,2,0,0,0,2,0
111128,0.6666666666666666,0,38.0,47.5,1.0,3,3,0.0,0.0,1.0,0.0,3,3,0,0,0,3,1
111129,0.5,1,47.5,47.5,0.5,1,2,1.0,0.0,0.0,0.0,1,1,1,0,0,2,1
111139,0.3333333333333333,0,23.5,47.5,0.0,1,3,1.0,0.0,0.0,0.0,1,1,0,0,2,1,1
111142,0.5,1,47.5,47.5,0.0,1,2,1.0,0.0,0.0,0.0,1,1,0,0,0,2,0
111145,1.0,1,62.5,62.5,0.0,1,1,1.0,0.0,0.0,0.0,2,2,0,0,0,1,0
111146,0.0,0,10.166666666666666,27.5,1.0,3,3,0.0,0.0,1.0,0.0,2,2,0,0,2,1,0
111148,0.5,1,85.0,85,0.0,1,2,1.0,0.0,0.0,0.0,1,1,0,0,0,2,0
111149,0.0,0,27.5,27.5,1.0,3,1,0.0,0.0,1.0,0.0,2,2,0,0,0,1,0
111161,1.0,1,40.75,62.5,0.0,1,2,0.5,0.0,0.5,0.0,2,3,0,0,0,2,0
111174,1.0,1,62.5,62.5,0.0,1,1,1.0,0.0,0.0,0.0,2,2,0,0,0,1,0
111177,0.4,1,43.5,47.5,1.0,1,5,1.0,0.0,0.0,0.0,1,1,1,0,0,5,0
