,hhnum,adltfscat,binadltfscat,fincondition,region,rural,rrindicator,targetgroup,inchhavg_r,snapnowhh,povthresh_hh,elig_units1,percent_poverty,percent_female,pr_sex,avg_age_r,pr_age_r,hispanic,mode_racecat_r,alt_pnum,prop_white,prop_black,prop_other,prop_narace,educcat,pr_educcat,ncimmigrant_any,ncimmigrant_every,nchildren,nadults,disabled
3763,115761,1,0,3,3,0,30,3,4703.338,0,1281.16666666667,0,367.1136724339785,0.0,0,27.5,27.5,0.0,1,1,1.0,0.0,0.0,0.0,1,1,0,0,0,1,0
3764,115764,3,1,3,2,0,20,3,2275.7833667368,0,917.583333333333,1,248.01925711417317,1.0,1,62.5,62.5,0.0,1,1,1.0,0.0,0.0,0.0,3,3,0,0,0,1,0
3765,115765,1,0,1,2,0,20,3,8358.99999999999,0,2283.33333333333,0,366.08759124087607,0.4,1,23.2,47.5,0.0,1,5,1.0,0.0,0.0,0.0,1,1,0,0,3,2,0
3766,115766,4,1,3,4,0,40,2,2181.6077232809,0,1281.16666666667,0,170.28289761526426,0.0,0,27.5,27.5,0.0,3,1,0.0,0.0,1.0,0.0,1,1,0,0,0,1,0
3767,115775,2,0,2,1,0,10,3,4798.45340422692,0,2414.5,0,198.7348686778596,0.6,1,29.1,47.5,0.0,1,5,1.0,0.0,0.0,0.0,1,1,0,0,1,4,0
3768,115776,3,1,5,4,0,40,4,2524.662,1,2005.75,0,125.87122024180479,0.5,1,48.375,47.5,0.0,2,4,0.0,1.0,0.0,0.0,1,1,0,0,1,3,1
3769,115785,1,0,2,4,0,40,3,4792.0,0,995.416666666667,0,481.406446211804,0.0,0,62.5,62.5,0.0,1,1,1.0,0.0,0.0,0.0,2,2,0,0,0,1,0
3770,115786,3,1,2,4,0,40,1,854.0,0,1156.5,1,73.84349329874622,1.0,1,55.0,47.5,0.0,1,2,1.0,0.0,0.0,0.0,2,2,0,0,0,2,0
3771,115791,3,1,3,1,1,11,3,1890.0,0,917.583333333333,0,205.97584233947876,0.0,0,62.5,62.5,0.0,1,1,1.0,0.0,0.0,0.0,3,3,0,0,0,1,0
3772,115797,4,1,4,1,0,10,4,800.0,1,1940.25,1,41.23180002576988,1.0,1,11.833333333333334,27.5,0.0,1,3,1.0,0.0,0.0,0.0,3,3,0,0,2,1,0
3773,115800,1,0,2,4,1,41,3,4387.67,0,917.583333333333,0,478.17673235855074,1.0,1,68.0,68.0,0.0,1,1,1.0,0.0,0.0,0.0,1,1,0,0,0,1,0
3774,115803,1,0,2,2,0,20,2,2600.0,0,1496.58333333333,0,173.729049501643,1.0,1,27.5,27.5,0.0,3,1,0.0,0.0,1.0,0.0,1,1,1,1,0,1,0
3775,115807,4,1,3,3,0,30,2,2000.0,0,1541.5,0,129.74375608173855,0.3333333333333333,1,24.83333333333333,47.5,0.0,2,3,0.0,1.0,0.0,0.0,2,2,0,0,2,1,1
3776,115808,1,0,2,2,0,20,4,3600.0,1,2556.5,0,140.81752395853707,0.3333333333333333,0,13.666666666666666,27.5,1.0,3,6,0.0,0.0,1.0,0.0,3,3,1,0,4,2,0
3777,115815,1,0,3,1,0,10,4,3743.9963329447,1,2340.58333333333,1,159.9599672280289,0.5,0,24.0,27.5,1.0,3,4,0.0,0.0,1.0,0.0,2,2,0,0,2,2,0
3778,115816,3,1,4,3,0,30,2,3425.662,0,2005.75,0,170.79207279072665,0.25,1,26.625,27.5,0.0,1,4,1.0,0.0,0.0,0.0,2,2,0,0,1,3,1
